[2023-05-30 06:12:59] [root | line:55 | show_card] [INFO] - [H[2]]
[2023-05-30 06:12:59] [root | line:104 | _show_pattern] [INFO] - Single([H[2]])
[2023-05-30 06:12:59] [root | line:104 | remove_cards] [INFO] - Cards: [H[2]] showed.
[2023-05-30 06:12:59] [root | line:94 | show_pattern] [INFO] - Single([H[2]]) Showed
[2023-05-30 06:12:59] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([H[2]])
[2023-05-30 06:12:59] [root | line:97 | detect] [INFO] - _single_cards: [{0: C[4]}, {1: D[6]}, {2: H[6]}, {3: S[6]}, {4: D[7]}, {5: H[7]}, {6: H[8]}, {7: C[Q]}, {8: H[Q]}, {9: H[A]}, {10: S[A]}, {11: C[2]}]
[2023-05-30 06:12:59] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:12:59] [root | line:101 | detect] [INFO] - qualfied: []
[2023-05-30 06:12:59] [root | line:80 | showcard_process] [INFO] - Player: AI #18756 這一回合 PASS
[2023-05-30 06:12:59] [root | line:97 | detect] [INFO] - _single_cards: [{0: D[3]}, {1: H[3]}, {2: H[4]}, {3: C[5]}, {4: S[5]}, {5: C[7]}, {6: C[8]}, {7: D[8]}, {8: C[9]}, {9: S[9]}, {10: C[J]}, {11: C[K]}, {12: D[K]}]
[2023-05-30 06:12:59] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:12:59] [root | line:101 | detect] [INFO] - qualfied: []
[2023-05-30 06:12:59] [root | line:80 | showcard_process] [INFO] - Player: AI #2741 這一回合 PASS
[2023-05-30 06:13:02] [root | line:55 | show_card] [INFO] - []
[2023-05-30 06:13:02] [root | line:80 | showcard_process] [INFO] - Player: A 這一回合 PASS
[2023-05-30 06:13:02] [root | line:91 | round_process] [INFO] - 新的回合開始了。
[2023-05-30 06:13:04] [root | line:55 | show_card] [INFO] - [S[2]]
[2023-05-30 06:13:04] [root | line:104 | _show_pattern] [INFO] - Single([S[2]])
[2023-05-30 06:13:04] [root | line:104 | remove_cards] [INFO] - Cards: [S[2]] showed.
[2023-05-30 06:13:04] [root | line:94 | show_pattern] [INFO] - Single([S[2]]) Showed
[2023-05-30 06:13:04] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([S[2]])
[2023-05-30 06:13:04] [root | line:97 | detect] [INFO] - _single_cards: [{0: C[4]}, {1: D[6]}, {2: H[6]}, {3: S[6]}, {4: D[7]}, {5: H[7]}, {6: H[8]}, {7: C[Q]}, {8: H[Q]}, {9: H[A]}, {10: S[A]}, {11: C[2]}]
[2023-05-30 06:13:04] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:13:04] [root | line:101 | detect] [INFO] - qualfied: []
[2023-05-30 06:13:04] [root | line:80 | showcard_process] [INFO] - Player: AI #18756 這一回合 PASS
[2023-05-30 06:13:04] [root | line:97 | detect] [INFO] - _single_cards: [{0: D[3]}, {1: H[3]}, {2: H[4]}, {3: C[5]}, {4: S[5]}, {5: C[7]}, {6: C[8]}, {7: D[8]}, {8: C[9]}, {9: S[9]}, {10: C[J]}, {11: C[K]}, {12: D[K]}]
[2023-05-30 06:13:04] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:13:04] [root | line:101 | detect] [INFO] - qualfied: []
[2023-05-30 06:13:04] [root | line:80 | showcard_process] [INFO] - Player: AI #2741 這一回合 PASS
[2023-05-30 06:13:06] [root | line:55 | show_card] [INFO] - []
[2023-05-30 06:13:06] [root | line:80 | showcard_process] [INFO] - Player: A 這一回合 PASS
[2023-05-30 06:13:06] [root | line:91 | round_process] [INFO] - 新的回合開始了。
[2023-05-30 06:13:09] [root | line:55 | show_card] [INFO] - [S[4]]
[2023-05-30 06:13:09] [root | line:104 | _show_pattern] [INFO] - Single([S[4]])
[2023-05-30 06:13:09] [root | line:104 | remove_cards] [INFO] - Cards: [S[4]] showed.
[2023-05-30 06:13:09] [root | line:94 | show_pattern] [INFO] - Single([S[4]]) Showed
[2023-05-30 06:13:09] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([S[4]])
[2023-05-30 06:13:09] [root | line:97 | detect] [INFO] - _single_cards: [{0: C[4]}, {1: D[6]}, {2: H[6]}, {3: S[6]}, {4: D[7]}, {5: H[7]}, {6: H[8]}, {7: C[Q]}, {8: H[Q]}, {9: H[A]}, {10: S[A]}, {11: C[2]}]
[2023-05-30 06:13:09] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:13:09] [root | line:101 | detect] [INFO] - qualfied: [{1: D[6]}, {2: H[6]}, {3: S[6]}, {4: D[7]}, {5: H[7]}, {6: H[8]}, {7: C[Q]}, {8: H[Q]}, {9: H[A]}, {10: S[A]}, {11: C[2]}]
[2023-05-30 06:13:09] [root | line:127 | show_card] [INFO] - [S[A]]
[2023-05-30 06:13:09] [root | line:186 | _show_pattern] [INFO] - Single([S[A]])
[2023-05-30 06:13:09] [root | line:104 | remove_cards] [INFO] - Cards: [S[A]] showed.
[2023-05-30 06:13:09] [root | line:168 | show_pattern] [INFO] - Single([S[A]]) Showed
[2023-05-30 06:13:09] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([S[A]])
[2023-05-30 06:13:09] [root | line:97 | detect] [INFO] - _single_cards: [{0: D[3]}, {1: H[3]}, {2: H[4]}, {3: C[5]}, {4: S[5]}, {5: C[7]}, {6: C[8]}, {7: D[8]}, {8: C[9]}, {9: S[9]}, {10: C[J]}, {11: C[K]}, {12: D[K]}]
[2023-05-30 06:13:09] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:13:09] [root | line:101 | detect] [INFO] - qualfied: []
[2023-05-30 06:13:09] [root | line:80 | showcard_process] [INFO] - Player: AI #2741 這一回合 PASS
[2023-05-30 06:14:35] [root | line:55 | show_card] [INFO] - []
[2023-05-30 06:14:35] [root | line:80 | showcard_process] [INFO] - Player: A 這一回合 PASS
[2023-05-30 06:14:38] [root | line:55 | show_card] [INFO] - [C[A]]
[2023-05-30 06:14:38] [root | line:104 | _show_pattern] [INFO] - Single([C[A]])
[2023-05-30 06:14:38] [root | line:86 | show_pattern] [WARNING] - 出牌需符合目前頂牌格式且大於目前頂牌，請重新出牌
[2023-05-30 06:14:40] [root | line:55 | show_card] [INFO] - []
[2023-05-30 06:14:40] [root | line:80 | showcard_process] [INFO] - Player: S 這一回合 PASS
[2023-05-30 06:14:40] [root | line:91 | round_process] [INFO] - 新的回合開始了。
[2023-05-30 06:14:40] [root | line:97 | detect] [INFO] - _single_cards: [{0: C[4]}, {1: D[6]}, {2: H[6]}, {3: S[6]}, {4: D[7]}, {5: H[7]}, {6: H[8]}, {7: C[Q]}, {8: H[Q]}, {9: H[A]}, {10: C[2]}]
[2023-05-30 06:14:40] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:14:40] [root | line:101 | detect] [INFO] - qualfied: [{0: C[4]}, {1: D[6]}, {2: H[6]}, {3: S[6]}, {4: D[7]}, {5: H[7]}, {6: H[8]}, {7: C[Q]}, {8: H[Q]}, {9: H[A]}, {10: C[2]}]
[2023-05-30 06:14:40] [root | line:127 | show_card] [INFO] - [D[7]]
[2023-05-30 06:14:40] [root | line:186 | _show_pattern] [INFO] - Single([D[7]])
[2023-05-30 06:14:40] [root | line:104 | remove_cards] [INFO] - Cards: [D[7]] showed.
[2023-05-30 06:14:40] [root | line:168 | show_pattern] [INFO] - Single([D[7]]) Showed
[2023-05-30 06:14:40] [root | line:77 | showcard_process] [INFO] - 頂牌已更新: Single([D[7]])
[2023-05-30 06:14:40] [root | line:97 | detect] [INFO] - _single_cards: [{0: D[3]}, {1: H[3]}, {2: H[4]}, {3: C[5]}, {4: S[5]}, {5: C[7]}, {6: C[8]}, {7: D[8]}, {8: C[9]}, {9: S[9]}, {10: C[J]}, {11: C[K]}, {12: D[K]}]
[2023-05-30 06:14:40] [root | line:44 | _filter] [INFO] - None
[2023-05-30 06:14:40] [root | line:101 | detect] [INFO] - qualfied: [{6: C[8]}, {7: D[8]}, {8: C[9]}, {9: S[9]}, {10: C[J]}, {11: C[K]}, {12: D[K]}]
[2023-05-30 06:14:40] [root | line:127 | show_card] [INFO] - [D[8]]
[2023-05-30 06:14:40] [root | line:186 | _show_pattern] [INFO] - Single([D[8]])
[2023-05-30 06:14:40] [root | line:104 | remove_cards] [INFO] - Cards: [D[8]] showed.
[2023-05-30 06:14:40] [root | line:168 | show_pattern] [INFO] - Single([D[8]]) Showed
